ages,list_price,num_reviews,piece_count,play_star_rating,review_difficulty,star_rating,theme_name,val_star_rating,country,Id
8,155.88,202,2469,4.7,1,4.9,9,4.7,7,0
26,19.99,9,252,4.8,0,4.6,39,4.6,20,1
26,91.698,56,659,4.6,0,4.6,34,3.9,4,2
11,24.3878,1,19,3.0,5,4.0,13,4.0,10,3
7,609.9878,84,4016,4.5,1,3.9,34,3.5,10,4
3,42.6878,0,1,0.0,5,0.0,24,0.0,8,5
29,69.99,19,944,3.6,0,4.2,38,4.6,20,6
11,42.639,0,38,0.0,5,0.0,13,0.0,9,7
23,19.99,2,139,4.5,2,4.0,39,3.5,20,8
22,20.2971,5,223,4.7,2,4.4,8,5.0,18,9
19,18.186,3,102,4.0,4,4.0,34,4.3,11,10
16,21.6,11,214,4.5,2,4.5,6,4.1,7,11
5,43.4971,14,386,4.1,0,4.4,1,3.6,18,12
22,109.7878,1,883,5.0,5,5.0,6,5.0,14,13
16,15.799,85,2,4.1,4,3.5,6,2.3,9,14
22,52.1971,13,278,4.9,2,4.5,34,4.2,18,15
0,15.799,7,140,3.2,2,4.9,4,4.7,9,16
2,141.9929,14,1327,4.6,1,4.6,39,4.8,17,17
0,14.1929,4,126,2.0,2,5.0,4,4.5,17,18
13,73.139,0,150,0.0,5,0.0,21,0.0,9,19
0,24.3878,1,240,3.0,2,5.0,4,5.0,14,20
16,75.9924,9,561,3.9,2,3.3,6,3.6,1,21
13,36.5878,2,175,5.0,5,5.0,21,4.0,15,22
16,19.99,0,125,0.0,5,0.0,15,0.0,20,23
19,18.2878,15,108,3.8,4,4.1,34,3.9,12,24
26,109.7878,56,659,4.6,0,4.6,34,3.9,14,25
0,12.1878,1,136,0.0,5,5.0,4,0.0,10,26
16,12.1878,2,88,0.0,5,5.0,6,0.0,14,27
13,24.3878,1,110,0.0,2,4.0,21,0.0,2,28
29,109.7878,11,1202,4.7,0,4.5,38,4.4,14,29
23,18.186,10,161,4.7,2,4.9,33,4.7,11,30
13,19.99,0,115,0.0,5,0.0,21,0.0,20,31
26,60.9878,6,366,3.7,0,4.0,37,3.0,6,32
23,18.2878,2,52,3.5,2,4.0,12,3.5,0,33
7,243.9878,0,1967,0.0,5,0.0,34,0.0,13,34
0,24.3878,0,209,0.0,5,0.0,4,0.0,14,35
26,99.3929,9,643,4.4,0,4.8,37,3.5,17,36
13,13.4078,3,59,4.3,2,5.0,21,4.3,10,37
22,36.5878,25,241,4.1,2,4.5,34,4.1,8,38
11,27.986,2,26,5.0,4,5.0,13,5.0,11,39
11,24.8429,1,19,3.0,5,4.0,13,4.0,17,40
11,48.7878,0,70,0.0,5,0.0,13,0.0,14,41
13,30.4878,0,84,0.0,5,0.0,21,0.0,13,42
23,40.698,18,254,4.2,2,4.2,37,4.4,4,43
13,12.1878,3,62,4.3,2,4.7,21,5.0,19,44
20,12.1878,1,48,5.0,4,5.0,38,5.0,19,45
26,18.2878,9,199,4.3,2,4.7,39,4.8,13,46
8,212.9929,62,2480,4.4,1,4.6,9,4.3,17,47
11,30.4878,0,32,0.0,5,0.0,13,0.0,8,48
19,60.93899999999999,1,460,4.0,0,4.0,17,1.0,9,49
29,179.88,4,1413,4.0,0,4.0,34,3.8,7,50
20,12.1878,2,73,5.0,2,5.0,29,3.5,19,51
16,36.5878,7,344,5.0,2,5.0,6,5.0,10,52
23,20.986,2,52,3.5,2,4.0,12,3.5,11,53
26,134.1878,8,1004,4.9,0,5.0,25,4.9,2,54
19,30.4878,3,126,4.3,2,4.7,31,3.7,0,55
26,93.9278,6,557,4.2,1,4.3,34,4.4,10,56
13,12.987,2,67,5.0,4,5.0,21,4.0,16,57
26,79.2878,12,457,4.4,2,4.3,34,3.6,6,58
11,31.9429,1,37,5.0,4,5.0,13,5.0,17,59
5,85.3878,83,962,3.7,0,4.5,19,4.2,8,60
19,153.986,45,610,4.4,0,4.4,6,4.0,11,61
26,69.5278,24,358,4.7,2,4.6,34,3.7,19,62
28,79.2878,2,646,5.0,5,4.5,16,3.0,13,63
13,34.99,2,191,5.0,0,5.0,21,4.5,20,64
23,89.99,6,267,4.7,0,4.3,12,4.0,20,65
5,48.7878,14,386,4.1,0,4.4,1,3.6,8,66
23,42.6878,7,358,4.7,0,4.7,25,4.8,0,67
22,14.0322,2,142,4.5,0,4.0,11,3.5,3,68
19,36.5878,7,289,3.8,2,4.1,17,3.7,13,69
29,97.5878,6,914,4.8,0,4.8,38,4.7,13,70
29,84.99,4,746,4.5,2,4.3,34,4.0,20,71
7,243.9878,201,1996,3.9,1,4.8,34,4.5,2,72
16,22.7924,12,239,4.7,2,4.8,6,4.6,1,73
16,36.5878,14,294,4.2,0,4.2,6,4.1,10,74
0,24.3878,1,240,3.0,2,5.0,4,5.0,0,75
3,42.6878,0,1,0.0,5,0.0,24,0.0,2,76
2,158.5878,7,1151,4.0,1,4.9,39,4.7,13,77
26,18.2878,2,171,5.0,1,5.0,39,5.0,12,78
29,136.7924,23,780,4.7,0,4.6,34,4.0,1,79
0,24.3878,1,234,3.0,2,5.0,4,5.0,8,80
26,79.2878,37,370,2.2,2,1.8,34,1.8,15,81
5,85.3878,14,744,3.2,1,4.6,1,4.1,10,82
14,9.7478,6,1,4.7,4,4.7,7,4.3,13,83
23,17.4724,3,179,5.0,2,5.0,33,5.0,1,84
13,24.3878,2,100,5.0,2,5.0,21,4.5,0,85
8,292.7878,99,4002,4.7,1,4.8,9,4.5,0,86
29,23.3922,1,148,5.0,4,5.0,34,5.0,3,87
0,12.1878,2,105,3.0,2,5.0,4,5.0,0,88
23,24.3878,4,198,4.5,0,4.5,26,5.0,0,89
11,38.87,2,26,5.0,4,5.0,13,5.0,16,90
15,4.5524,13,8,4.3,4,4.8,27,4.0,1,91
11,146.3878,22,134,4.6,0,4.1,13,3.7,13,92
7,215.88,1,1966,5.0,3,5.0,34,5.0,7,93
29,195.1878,31,1416,4.6,0,4.8,34,4.4,2,94
26,79.2878,8,747,4.3,0,4.5,38,4.5,13,95
16,23.1971,12,239,4.7,2,4.8,6,4.6,18,96
23,14.99,12,196,4.5,2,4.6,33,4.4,20,97
13,12.1878,2,67,5.0,4,5.0,21,4.0,8,98
26,103.6878,56,659,4.6,0,4.6,34,3.9,8,99
23,48.7878,18,254,4.2,2,4.2,37,4.4,14,100
11,91.1924,1,106,4.0,2,5.0,13,4.0,1,101
20,9.99,1,48,5.0,4,5.0,38,5.0,20,102
16,22.7924,11,214,4.5,2,4.5,6,4.1,1,103
22,24.3878,1,200,5.0,0,5.0,8,5.0,19,104
0,30.4878,33,231,4.4,2,4.6,19,4.5,8,105
0,12.1878,3,101,4.0,0,4.7,4,4.5,14,106
23,69.5278,5,425,3.2,0,3.2,37,2.6,6,107
0,14.1929,1,135,1.0,4,4.0,4,3.0,17,108
0,12.1878,4,126,2.0,2,5.0,4,4.5,0,109
16,19.99,3,141,4.3,2,4.3,6,4.7,20,110
25,121.9878,17,1124,4.8,0,4.8,17,4.5,0,111
19,49.6929,3,322,4.7,2,4.3,15,4.3,17,112
13,30.4878,1,95,5.0,4,5.0,21,4.0,15,113
19,21.899,13,124,4.2,2,4.8,25,4.8,9,114
23,12.1878,2,176,4.5,2,4.5,39,4.5,10,115
