Id,Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Longtitude,Regionname,Propertycount
124,3,2,995000,1,135,6.3,3143,2,2,0,100.0,1998,26,145.016,5,4836
5905,2,0,1080000,1,155,2.0,3066,1,0,0,94.0,1890,31,144.98863,2,4553
5963,3,0,725000,1,196,17.9,3082,2,2,602,129.0,1980,29,145.06912,2,10529
3521,4,0,1330000,1,251,8.0,3016,3,2,217,266.0,2003,10,144.8796,6,6380
3738,3,0,620000,1,221,12.4,3060,1,2,604,190.0,1970,23,144.9686,2,5070
5949,4,1,985000,4,106,7.8,3079,3,2,181,154.0,2016,0,145.03883000000002,0,5549
732,2,1,801000,1,106,5.2,3056,2,1,156,87.0,2007,23,144.9498,2,11918
6459,2,2,465000,3,196,12.0,3073,1,1,676,61.0,2012,-1,145.02142,2,21650
263,4,0,950000,1,150,10.5,3034,3,3,761,281.0,1970,21,144.8714,6,4502
5325,3,0,1512000,1,106,5.3,3070,1,0,326,125.0,1905,6,144.99902,2,11364
3962,2,2,662500,1,106,2.5,3121,1,1,0,75.0,2015,31,144.9948,2,1123
6601,3,0,1210000,1,106,10.2,3147,1,3,407,93.0,1955,-1,145.0866,5,3052
2355,2,0,650000,3,195,8.4,3015,1,1,149,62.0,1890,10,144.8903,6,5498
2433,3,0,1655000,3,106,5.5,3070,1,3,472,101.0,1924,6,145.0027,2,11364
1193,3,0,1391000,1,196,13.9,3108,1,1,764,175.0,1965,15,145.1207,0,9028
2255,4,0,1322000,1,155,6.9,3039,1,1,549,192.0,1930,21,144.929,6,6232
3790,2,2,540000,0,250,10.6,3084,1,2,153,97.0,1972,0,145.0695,0,2890
835,3,0,570000,1,196,11.7,3125,1,1,384,112.0,1950,28,145.1138,5,5678
4319,5,0,1750000,0,155,5.5,3070,2,0,406,225.0,1900,6,145.0099,2,11364
63,4,0,2800000,4,41,3.3,3206,3,1,327,254.0,1910,25,144.9475,5,3280
2528,3,0,1120000,1,28,9.9,3044,1,2,50,141.0,1950,23,144.9416,2,7485
6386,3,0,700000,1,73,25.0,3155,1,1,439,112.0,1970,-1,145.25333,0,9704
3762,2,0,1335000,1,73,7.5,3123,1,0,229,70.0,1900,2,145.0484,5,6482
6068,3,2,1151000,1,255,10.1,3163,2,1,259,115.0,1995,8,145.0539,5,7822
5634,1,2,505000,3,161,6.2,3123,1,1,0,52.0,1960,2,145.05324,5,6482
5492,4,0,735000,1,140,28.8,3765,2,2,846,160.0,1980,32,145.35396,1,2493
5048,4,0,773000,1,150,9.5,3034,2,2,344,235.0,2004,21,144.86687,6,4502
4680,2,2,507000,1,16,7.5,3040,1,1,0,80.0,1960,21,144.90366,6,1543
4693,4,0,1620000,1,260,13.8,3165,2,2,426,255.0,2014,8,145.05534,5,10969
4448,2,0,1100000,3,140,6.5,3071,1,1,330,132.0,1930,6,145.0165,2,8870
1934,3,0,1470000,1,155,4.2,3031,1,1,199,121.0,1910,18,144.93200000000002,2,5263
734,1,2,370000,1,106,5.2,3056,1,1,540,45.0,1970,23,144.9574,2,11918
1285,2,2,600000,1,260,7.7,3184,1,1,0,75.0,1960,25,144.9873,5,8989
1179,4,2,753000,1,16,13.9,3108,1,1,241,105.0,1970,15,145.1093,0,9028
5340,3,0,1115000,1,140,8.4,3072,1,2,680,129.0,1960,6,145.02006,2,14577
6712,3,0,1350000,1,161,13.4,3130,1,1,697,121.0,1950,-1,145.15828,0,5713
5357,1,2,400000,4,106,2.7,3141,1,1,0,43.0,1950,26,145.00137,5,14887
2947,4,0,1645000,1,23,2.6,3121,2,1,249,214.0,1970,31,145.0084,2,14949
3248,3,0,570000,0,67,12.6,3020,1,2,535,105.0,1970,3,144.8292,6,3755
4692,4,1,1200000,0,32,11.4,3204,2,2,293,226.0,2012,8,145.03184,5,6795
4918,3,1,918000,1,18,10.4,3125,2,1,207,144.0,2012,20,145.10873,5,5678
4958,3,0,780000,1,221,11.2,3046,1,2,697,131.27,1960,23,144.94285,2,8870
636,4,0,2840000,1,94,10.7,3187,2,2,999,274.0,1972,1,145.0189,5,6938
6181,2,2,407000,1,87,15.3,3074,1,1,140,78.0,2010,29,145.01744,2,7955
450,3,0,1390000,1,32,13.9,3165,2,2,590,118.0,1960,8,145.0757,5,10969
